district,mandal,village,lat,long,date,value
KAMAREDDY,Naga_Reddipet,Banjara Thanda,78.0818,18.1449,01/04/22,25.92
KAMAREDDY,Naga_Reddipet,Malthummeda,78.142,18.114,01/04/22,10.5
KAMAREDDY,Naga_Reddipet,Nasurullabad,77.873,18.468,01/04/22,2.57
KAMAREDDY,Nizamsagar,Achampet,77.93,18.21,01/04/22,9.14
KAMAREDDY,Nizamsagar,Mohammadnagar,77.908661,18.293098,01/04/22,12.67
KAMAREDDY,Pedda Kodapgal,Shanthapur,77.73,18.33,01/04/22,7.17
KAMAREDDY,Pedda Kodapgal,Maddela Cheruvu,77.85,18.35,01/04/22,13.42
KAMAREDDY,Rajampet,Argonda,78.272,18.234,01/04/22,16.1
KAMAREDDY,Rajampet,Kondapur,78.289,18.184,01/04/22,20.49
KAMAREDDY,Ramareddy,Reddypet,78.417,18.409,01/04/22,15
KAMAREDDY,Sadasivanagar,Sadasivanagar,78.264,18.406,01/04/22,13.02
KAMAREDDY,Tadwai,Yerrapahad,78.223,18.293,01/04/22,4
KAMAREDDY,Tadwai,Annaram,78.241562,18.35434,01/04/22,29.05
KAMAREDDY,Yellareddy,Yellareddy,78.02,18.194,01/04/22,14.01
KAMAREDDY,Banswada,HANMAJIPET ,78.001667,18.433056,01/04/22,9.24
KAMAREDDY,Bhiknur,KACHAPOOR ,78.452778,18.192778,01/04/22,13.67
KAMAREDDY,Bhiknur,MALLUPALLY ,78.445,18.155,01/04/22,23.55
KAMAREDDY,Bichkunda,DOULTHAPUR ,77.700556,18.384444,01/04/22,5.59
KAMAREDDY,Bichkunda,GUNDE NEMLI ,77.807778,18.362778,01/04/22,18.06
KAMAREDDY,Bichkunda,PD DADGI ,77.742222,18.368056,01/04/22,21
KAMAREDDY,Domakonda,AMBERPET ,78.488056,18.262778,01/04/22,10.61
KAMAREDDY,Domakonda,ANCHANOOR ,78.459444,18.244722,01/04/22,20.7
KAMAREDDY,Gandhari,CHADMAL ,78.077222,18.459167,01/04/22,
KAMAREDDY,Gandhari,GURJAL ,78.140556,18.3575,01/04/22,28.19
KAMAREDDY,Lingampet,LINGAMPET ,78.127778,18.2375,01/04/22,5.01
KAMAREDDY,Lingampet,PARMALLA,78.127778,18.201944,01/04/22,13.74
KAMAREDDY,Machareddy,RAJKHANPET ,78.519722,18.356389,01/04/22,7.43
KAMAREDDY,Madnur,MADNOOR ,77.628889,18.500278,01/04/22,7.94
KAMAREDDY,Madnur,RUSEGAON,77.683333,18.435,01/04/22,2.63
KAMAREDDY,Naga_Reddipet,WADALPARTHY ,78.154722,18.136667,01/04/22,20
KAMAREDDY,Naga_Reddipet,BOMMADEVPALLY ,77.901111,18.471389,01/04/22,2.08
KAMAREDDY,Naga_Reddipet,BOPPASPALLY ,77.8425,18.485278,01/04/22,2.71
KAMAREDDY,Naga_Reddipet,MIRZAPUR ,77.843889,18.447778,01/04/22,7.59
KAMAREDDY,Nizamsagar,BURGUL ,77.940556,18.258056,01/04/22,3.76
KAMAREDDY,Nizamsagar,NARVA ,77.9725,18.258333,01/04/22,1.03
KAMAREDDY,Nizamsagar,VELGANOOR ,77.868056,18.195278,01/04/22,17.81
KAMAREDDY,Pedda Kodapgal,CHILLARGI ,77.832222,18.2875,01/04/22,10.9
KAMAREDDY,Pedda Kodapgal,GODMAGAON ,77.757778,18.231667,01/04/22,16.39
KAMAREDDY,Pedda Kodapgal,KURTHI / RAMPUR,77.879167,18.298056,01/04/22,12.4
KAMAREDDY,Pedda Kodapgal,NAGAMPALLY ,77.847222,18.246944,01/04/22,14.72
KAMAREDDY,Pedda Kodapgal,PITLAM ,77.842222,18.227222,01/04/22,11.29
KAMAREDDY,Rajampet,SIDDAPOOR ,78.243333,18.165,01/04/22,26.6
KAMAREDDY,Ramareddy,DEVANPALLE ,78.443056,18.331667,01/04/22,14.65
KAMAREDDY,Sadasivanagar,PADMAJI WADA ,78.237778,18.429167,01/04/22,14.4
KAMAREDDY,Sadasivanagar,UTNOOR ,78.191111,18.438333,01/04/22,10.02
KAMAREDDY,Tadwai,KANKAL,78.217778,18.341667,01/04/22,25.53
KAMAREDDY,Yellareddy,THIMMAREDDY ,77.995833,18.2375,01/04/22,16.2
KAMAREDDY,Yellareddy,YELLAREDDY ,78.011389,18.201111,01/04/22,14.01
KARIMNAGAR,Chigurumamidi,Bommanapalli,79.2301,18.2126,01/04/22,
KARIMNAGAR,Chigurumamidi,Chigurumamidi,79.154589,18.263438,01/04/22,11.03
KARIMNAGAR,Chigurumamidi,Ramancha,79.201111,18.23625,01/04/22,7.81
KARIMNAGAR,Choppadandi,Rukmapur,79.1461,18.5334,01/04/22,13.18
KARIMNAGAR,Ellandakunta,Illanthukunta ,79.5058,18.2992,01/04/22,7.4
KARIMNAGAR,Gangadhara,Burugupally,79.0333,18.6386,01/04/22,7.76
KARIMNAGAR,Gangadhara,Gangadhara,79.008888,18.579444,01/04/22,23.53
KARIMNAGAR,Gannervaram,Mylaram,79.078,18.368,01/04/22,5.78
KARIMNAGAR,Huzurabad,Huzurabad,79.407573,18.189488,01/04/22,5.22
KARIMNAGAR,Jammikunta,Vavilala,79.5529,18.3963,01/04/22,3.72
KARIMNAGAR,Karimnagar (Rural-I),Nagnur,79.144638,18.500305,01/04/22,3.42
KARIMNAGAR,Karimnagar,Karimnagar,79.128333,18.436111,01/04/22,9.02
KARIMNAGAR,Shankarapatnam,Thadikal,79.2894,18.3089,01/04/22,5
KARIMNAGAR,Manakondur,Laxmipur,79.285194,18.446611,01/04/22,1.8
KARIMNAGAR,Ramadugu,Gundi,79.08725,18.618833,01/04/22,8.43
KARIMNAGAR,V_Saidapur,Saidapur,79.305174,18.2148,01/04/22,12.36
KARIMNAGAR,Thimmapur,Alugunur,79.151234,18.400873,01/04/22,6.15
KARIMNAGAR,Thimmapur,Nedunur,79.1383,18.3117,01/04/22,11.33
KARIMNAGAR,Veenavanka,Veenavanka,79.420555,18.346111,01/04/22,3.9
KHAMMAM,Bonakal,Mustikunta,80.223141,17.040809,01/04/22,1.43
KHAMMAM,Bonakal,Pedabeeravalli,80.3,17.05,01/04/22,1.17
KHAMMAM,Chinthakani,Pandillapalli,80.18,17.15,01/04/22,2.81
KHAMMAM,Enkuru,Enkoor,80.44,17.33,01/04/22,10.06
KHAMMAM,Enkuru,Timmaraopeta,80.37,17.37,01/04/22,3.61
KHAMMAM,Kalluru,Kallur,80.5467,17.21,01/04/22,2.74
KHAMMAM,Kamepalle,Kothalingala,80.237801,17.429453,01/04/22,8.42
KHAMMAM,Kamepalle,Ootkuru,80.3,17.46,01/04/22,9.58
KHAMMAM,Khammam_Rural,Theerthala,80.143482,17.370784,01/04/22,3.95
KHAMMAM,Khammam_Rural,M.V.Palem,80.0969,17.2967,01/04/22,4.68
KHAMMAM,Khammam_Urban,Khammam I,80.1333,17.2333,01/04/22,1.75
KHAMMAM,Khammam_Urban,Khammam-II,80.1436,17.2525,01/04/22,2.35
KHAMMAM,Konijerla,Gubbagurthi,80.36,17.28,01/04/22,2.6
KHAMMAM,Konijerla,Konijerla,80.2908,17.2211,01/04/22,1.57
KHAMMAM,Kusumanchi,Jakkapally,79.97,17.14,01/04/22,1.31
KHAMMAM,Kusumanchi,Kusumanchi,79.9583,17.2208,01/04/22,9.59
KHAMMAM,Madhira,Madhira,80.36748,16.92114,01/04/22,8.32
KHAMMAM,Madhira,Nidhanapuram,80.42,16.92,01/04/22,7.84
KHAMMAM,Mudigonda,Banapuram,80.12,17.06,01/04/22,1.04
KHAMMAM,Mudigonda,Mudigonda,80.0986,17.1875,01/04/22,3.01
KHAMMAM,Nelakondapalle,Bodulabanda,80.02,17.09,01/04/22,1.79
KHAMMAM,Nelakondapalle,Buddaram,80.06,17.02,01/04/22,3.22
